"train/global_step","glad-glitter-9 - train/ema_token_loss","glad-glitter-9 - train/ema_token_loss__MIN","glad-glitter-9 - train/ema_token_loss__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/ema_token_loss","sleek-moon-7 - train/ema_token_loss__MIN","sleek-moon-7 - train/ema_token_loss__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/ema_token_loss","magic-universe-6 - train/ema_token_loss__MIN","magic-universe-6 - train/ema_token_loss__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/ema_token_loss","visionary-oath-5 - train/ema_token_loss__MIN","visionary-oath-5 - train/ema_token_loss__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"0","0","0","0","1","1","1","0","0","0","1","1","1","","","","","","","","","","","",""
"1","","","","","","","","","","","","","3.228025197982788","3.228025197982788","3.228025197982788","2","2","2","3.4259908199310303","3.4259908199310303","3.4259908199310303","2","2","2"
"10","","","","","","","","","","","","","3.250429426299201","3.250429426299201","3.250429426299201","4","4","4","3.436096273528205","3.436096273528205","3.436096273528205","4","4","4"
"20","","","","","","","","","","","","","3.271405923366546","3.271405923366546","3.271405923366546","6","6","6","3.4385795950889584","3.4385795950889584","3.4385795950889584","6","6","6"
"30","","","","","","","","","","","","","3.2935642278194424","3.2935642278194424","3.2935642278194424","8","8","8","3.4398339784145353","3.4398339784145353","3.4398339784145353","8","8","8"
"40","","","","","","","","","","","","","3.3063326677083964","3.3063326677083964","3.3063326677083964","10","10","10","3.4495398505926134","3.4495398505926134","3.4495398505926134","10","10","10"
"50","","","","","","","","","","","","","3.3138753652930255","3.3138753652930255","3.3138753652930255","12","12","12","3.452659061944485","3.452659061944485","3.452659061944485","12","12","12"
"60","","","","","","","","","","","","","3.3197232032144064","3.3197232032144064","3.3197232032144064","14","14","14","3.4428600365483764","3.4428600365483764","3.4428600365483764","14","14","14"
"70","","","","","","","","","","","","","3.326949987202048","3.326949987202048","3.326949987202048","16","16","16","3.4387539721635583","3.4387539721635583","3.4387539721635583","16","16","16"
"80","","","","","","","","","","","","","3.332952078630769","3.332952078630769","3.332952078630769","18","18","18","3.4312760129965185","3.4312760129965185","3.4312760129965185","18","18","18"
"90","","","","","","","","","","","","","3.3282230786534344","3.3282230786534344","3.3282230786534344","20","20","20","3.4162015046534098","3.4162015046534098","3.4162015046534098","20","20","20"
"100","","","","","","","","","","","","","3.338550757055181","3.338550757055181","3.338550757055181","22","22","22","3.4091826420298657","3.4091826420298657","3.4091826420298657","22","22","22"
"110","","","","","","","","","","","","","3.3398704707783735","3.3398704707783735","3.3398704707783735","24","24","24","3.403018940204809","3.403018940204809","3.403018940204809","24","24","24"
"120","","","","","","","","","","","","","3.3431169289495597","3.3431169289495597","3.3431169289495597","26","26","26","3.4038720220754413","3.4038720220754413","3.4038720220754413","26","26","26"
"130","","","","","","","","","","","","","3.336532744599525","3.336532744599525","3.336532744599525","28","28","28","3.398207567670631","3.398207567670631","3.398207567670631","28","28","28"
"140","","","","","","","","","","","","","3.337274611741135","3.337274611741135","3.337274611741135","30","30","30","3.3889555822658726","3.3889555822658726","3.3889555822658726","30","30","30"
"150","","","","","","","","","","","","","3.330206696465459","3.330206696465459","3.330206696465459","32","32","32","3.3814179036779572","3.3814179036779572","3.3814179036779572","32","32","32"
"160","","","","","","","","","","","","","3.324532714135808","3.324532714135808","3.324532714135808","34","34","34","3.365141423979107","3.365141423979107","3.365141423979107","34","34","34"
"170","","","","","","","","","","","","","3.317913526279356","3.317913526279356","3.317913526279356","36","36","36","3.3554565433609813","3.3554565433609813","3.3554565433609813","36","36","36"
"180","","","","","","","","","","","","","3.3138634151064985","3.3138634151064985","3.3138634151064985","38","38","38","3.346612892503887","3.346612892503887","3.346612892503887","38","38","38"
"190","","","","","","","","","","","","","3.310429382250634","3.310429382250634","3.310429382250634","40","40","40","3.3430586665469555","3.3430586665469555","3.3430586665469555","40","40","40"
"200","","","","","","","","","","","","","3.3047798919015468","3.3047798919015468","3.3047798919015468","42","42","42","3.3348630293844472","3.3348630293844472","3.3348630293844472","42","42","42"
"210","","","","","","","","","","","","","3.2973110122084623","3.2973110122084623","3.2973110122084623","44","44","44","3.329890711126178","3.329890711126178","3.329890711126178","44","44","44"
"220","","","","","","","","","","","","","3.287037861579657","3.287037861579657","3.287037861579657","46","46","46","3.314800066069469","3.314800066069469","3.314800066069469","46","46","46"
"230","","","","","","","","","","","","","3.271301757306457","3.271301757306457","3.271301757306457","48","48","48","3.319210409804319","3.319210409804319","3.319210409804319","48","48","48"
"240","","","","","","","","","","","","","3.2723332789635067","3.2723332789635067","3.2723332789635067","50","50","50","3.3232541439093364","3.3232541439093364","3.3232541439093364","50","50","50"
"250","","","","","","","","","","","","","3.271449171343035","3.271449171343035","3.271449171343035","52","52","52","3.3174209246477973","3.3174209246477973","3.3174209246477973","52","52","52"
"260","","","","","","","","","","","","","3.269438035641837","3.269438035641837","3.269438035641837","54","54","54","","","","","",""
"270","","","","","","","","","","","","","3.2752421111059737","3.2752421111059737","3.2752421111059737","56","56","56","","","","","",""
"280","","","","","","","","","","","","","3.275697788911392","3.275697788911392","3.275697788911392","58","58","58","","","","","",""
"290","","","","","","","","","","","","","3.2709265482282603","3.2709265482282603","3.2709265482282603","60","60","60","","","","","",""
"300","","","","","","","","","","","","","3.271067818271157","3.271067818271157","3.271067818271157","62","62","62","","","","","",""
"310","","","","","","","","","","","","","3.265793540716502","3.265793540716502","3.265793540716502","64","64","64","","","","","",""
"320","","","","","","","","","","","","","3.2632152700188755","3.2632152700188755","3.2632152700188755","66","66","66","","","","","",""
"330","","","","","","","","","","","","","3.2673067221429646","3.2673067221429646","3.2673067221429646","68","68","68","","","","","",""
"340","","","","","","","","","","","","","3.267551986818317","3.267551986818317","3.267551986818317","70","70","70","","","","","",""
"350","","","","","","","","","","","","","3.262761738698009","3.262761738698009","3.262761738698009","72","72","72","","","","","",""
"360","","","","","","","","","","","","","3.2550491787198093","3.2550491787198093","3.2550491787198093","74","74","74","","","","","",""
"370","","","","","","","","","","","","","3.2599537304523207","3.2599537304523207","3.2599537304523207","76","76","76","","","","","",""
"380","","","","","","","","","","","","","3.25529956681871","3.25529956681871","3.25529956681871","78","78","78","","","","","",""
"390","","","","","","","","","","","","","3.253087176054808","3.253087176054808","3.253087176054808","80","80","80","","","","","",""
"400","","","","","","","","","","","","","3.248076119276964","3.248076119276964","3.248076119276964","82","82","82","","","","","",""
"410","","","","","","","","","","","","","3.2496145995733885","3.2496145995733885","3.2496145995733885","84","84","84","","","","","",""
"420","","","","","","","","","","","","","3.247717676664389","3.247717676664389","3.247717676664389","86","86","86","","","","","",""
"430","","","","","","","","","","","","","3.2421596426710457","3.2421596426710457","3.2421596426710457","88","88","88","","","","","",""
"440","","","","","","","","","","","","","3.237974463010875","3.237974463010875","3.237974463010875","90","90","90","","","","","",""
"450","","","","","","","","","","","","","3.2350266642317598","3.2350266642317598","3.2350266642317598","92","92","92","","","","","",""
"460","","","","","","","","","","","","","3.2402632022153224","3.2402632022153224","3.2402632022153224","94","94","94","","","","","",""
"470","","","","","","","","","","","","","3.2345684478507235","3.2345684478507235","3.2345684478507235","96","96","96","","","","","",""
"480","","","","","","","","","","","","","3.2328605654679947","3.2328605654679947","3.2328605654679947","98","98","98","","","","","",""
"490","","","","","","","","","","","","","3.224991092936088","3.224991092936088","3.224991092936088","100","100","100","","","","","",""
"500","","","","","","","","","","","","","2.902491983642479","2.902491983642479","2.902491983642479","103","103","103","","","","","",""
"510","","","","","","","","","","","","","2.9278585537108484","2.9278585537108484","2.9278585537108484","105","105","105","","","","","",""
"520","","","","","","","","","","","","","2.9637198159545095","2.9637198159545095","2.9637198159545095","107","107","107","","","","","",""
"530","","","","","","","","","","","","","2.9858934428795663","2.9858934428795663","2.9858934428795663","109","109","109","","","","","",""
"540","","","","","","","","","","","","","3.0015455078933675","3.0015455078933675","3.0015455078933675","111","111","111","","","","","",""
"550","","","","","","","","","","","","","3.0238121073115503","3.0238121073115503","3.0238121073115503","113","113","113","","","","","",""
"560","","","","","","","","","","","","","3.0455517233015867","3.0455517233015867","3.0455517233015867","115","115","115","","","","","",""
"570","","","","","","","","","","","","","3.06710784857885","3.06710784857885","3.06710784857885","117","117","117","","","","","",""
"580","","","","","","","","","","","","","3.0880476298220394","3.0880476298220394","3.0880476298220394","119","119","119","","","","","",""
"590","","","","","","","","","","","","","3.0960217936892005","3.0960217936892005","3.0960217936892005","121","121","121","","","","","",""
"600","","","","","","","","","","","","","3.105755208497526","3.105755208497526","3.105755208497526","123","123","123","","","","","",""
"610","","","","","","","","","","","","","3.11604001632209","3.11604001632209","3.11604001632209","125","125","125","","","","","",""
"620","","","","","","","","","","","","","3.129997843303162","3.129997843303162","3.129997843303162","127","127","127","","","","","",""
"630","","","","","","","","","","","","","3.1343640868048768","3.1343640868048768","3.1343640868048768","129","129","129","","","","","",""
"640","","","","","","","","","","","","","3.1435884676141352","3.1435884676141352","3.1435884676141352","131","131","131","","","","","",""
"650","","","","","","","","","","","","","3.153242949404968","3.153242949404968","3.153242949404968","133","133","133","","","","","",""
"660","","","","","","","","","","","","","3.157587195419061","3.157587195419061","3.157587195419061","135","135","135","","","","","",""
"670","","","","","","","","","","","","","3.159069991990436","3.159069991990436","3.159069991990436","137","137","137","","","","","",""
"680","","","","","","","","","","","","","3.167265966729381","3.167265966729381","3.167265966729381","139","139","139","","","","","",""
"690","","","","","","","","","","","","","3.1696470360720674","3.1696470360720674","3.1696470360720674","141","141","141","","","","","",""
"700","","","","","","","","","","","","","3.176515073248552","3.176515073248552","3.176515073248552","143","143","143","","","","","",""
"710","","","","","","","","","","","","","3.172187750341421","3.172187750341421","3.172187750341421","145","145","145","","","","","",""
"720","","","","","","","","","","","","","3.1758959848897983","3.1758959848897983","3.1758959848897983","147","147","147","","","","","",""
"730","","","","","","","","","","","","","3.1757277464166878","3.1757277464166878","3.1757277464166878","149","149","149","","","","","",""
"740","","","","","","","","","","","","","3.179264362033808","3.179264362033808","3.179264362033808","151","151","151","","","","","",""
"750","","","","","","","","","","","","","3.1807103318362864","3.1807103318362864","3.1807103318362864","153","153","153","","","","","",""
"760","","","","","","","","","","","","","3.1793771221389857","3.1793771221389857","3.1793771221389857","155","155","155","","","","","",""
"770","","","","","","","","","","","","","3.1809529788032607","3.1809529788032607","3.1809529788032607","157","157","157","","","","","",""
"780","","","","","","","","","","","","","3.1846938473047706","3.1846938473047706","3.1846938473047706","159","159","159","","","","","",""
"790","","","","","","","","","","","","","3.1879536648448012","3.1879536648448012","3.1879536648448012","161","161","161","","","","","",""
"800","","","","","","","","","","","","","3.186734573232147","3.186734573232147","3.186734573232147","163","163","163","","","","","",""
"810","","","","","","","","","","","","","3.192869808841061","3.192869808841061","3.192869808841061","165","165","165","","","","","",""
"820","","","","","","","","","","","","","3.191505706222336","3.191505706222336","3.191505706222336","167","167","167","","","","","",""
"830","","","","","","","","","","","","","3.1990200602216845","3.1990200602216845","3.1990200602216845","169","169","169","","","","","",""
"840","","","","","","","","","","","","","3.195618393707573","3.195618393707573","3.195618393707573","171","171","171","","","","","",""
"850","","","","","","","","","","","","","3.196002576370507","3.196002576370507","3.196002576370507","173","173","173","","","","","",""
"860","","","","","","","","","","","","","3.194203984993222","3.194203984993222","3.194203984993222","175","175","175","","","","","",""
"870","","","","","","","","","","","","","3.1888904132761264","3.1888904132761264","3.1888904132761264","177","177","177","","","","","",""
"880","","","","","","","","","","","","","3.1941793428347443","3.1941793428347443","3.1941793428347443","179","179","179","","","","","",""
"890","","","","","","","","","","","","","3.195652445538575","3.195652445538575","3.195652445538575","181","181","181","","","","","",""
"900","","","","","","","","","","","","","3.1880987671468266","3.1880987671468266","3.1880987671468266","183","183","183","","","","","",""
"910","","","","","","","","","","","","","3.1900440479028473","3.1900440479028473","3.1900440479028473","185","185","185","","","","","",""
"920","","","","","","","","","","","","","3.189533657852553","3.189533657852553","3.189533657852553","187","187","187","","","","","",""
"930","","","","","","","","","","","","","3.1897471812579714","3.1897471812579714","3.1897471812579714","189","189","189","","","","","",""
"940","","","","","","","","","","","","","3.190537306119235","3.190537306119235","3.190537306119235","191","191","191","","","","","",""
"950","","","","","","","","","","","","","3.191510278388171","3.191510278388171","3.191510278388171","193","193","193","","","","","",""
"960","","","","","","","","","","","","","3.183307374481238","3.183307374481238","3.183307374481238","195","195","195","","","","","",""
"970","","","","","","","","","","","","","3.1817712995087","3.1817712995087","3.1817712995087","197","197","197","","","","","",""
"980","","","","","","","","","","","","","3.1803720855124196","3.1803720855124196","3.1803720855124196","199","199","199","","","","","",""
"990","","","","","","","","","","","","","3.1825481566852987","3.1825481566852987","3.1825481566852987","201","201","201","","","","","",""
"1000","","","","","","","","","","","","","2.864293341016769","2.864293341016769","2.864293341016769","204","204","204","","","","","",""
"1010","","","","","","","","","","","","","2.8948164071226117","2.8948164071226117","2.8948164071226117","206","206","206","","","","","",""
"1020","","","","","","","","","","","","","2.926843784354687","2.926843784354687","2.926843784354687","208","208","208","","","","","",""
"1030","","","","","","","","","","","","","2.955281270238066","2.955281270238066","2.955281270238066","210","210","210","","","","","",""
"1040","","","","","","","","","","","","","2.9711722487440446","2.9711722487440446","2.9711722487440446","212","212","212","","","","","",""
"1050","","","","","","","","","","","","","2.998804894169933","2.998804894169933","2.998804894169933","214","214","214","","","","","",""
"1060","","","","","","","","","","","","","3.019827610624522","3.019827610624522","3.019827610624522","216","216","216","","","","","",""
"1070","","","","","","","","","","","","","3.0332603845352146","3.0332603845352146","3.0332603845352146","218","218","218","","","","","",""
"1080","","","","","","","","","","","","","3.0520253342408727","3.0520253342408727","3.0520253342408727","220","220","220","","","","","",""
"1090","","","","","","","","","","","","","3.061665635289442","3.061665635289442","3.061665635289442","222","222","222","","","","","",""
"1100","","","","","","","","","","","","","3.075457224531494","3.075457224531494","3.075457224531494","224","224","224","","","","","",""
"1110","","","","","","","","","","","","","3.0880096542389888","3.0880096542389888","3.0880096542389888","226","226","226","","","","","",""
"1120","","","","","","","","","","","","","3.096266107638332","3.096266107638332","3.096266107638332","228","228","228","","","","","",""
"1130","","","","","","","","","","","","","3.1099986048456905","3.1099986048456905","3.1099986048456905","230","230","230","","","","","",""
"1140","","","","","","","","","","","","","3.111581675879676","3.111581675879676","3.111581675879676","232","232","232","","","","","",""
"1150","","","","","","","","","","","","","3.126125260000693","3.126125260000693","3.126125260000693","234","234","234","","","","","",""
"1160","","","","","","","","","","","","","3.130947540824354","3.130947540824354","3.130947540824354","236","236","236","","","","","",""
"1170","","","","","","","","","","","","","3.1355085599047605","3.1355085599047605","3.1355085599047605","238","238","238","","","","","",""
"1180","","","","","","","","","","","","","3.1431534589191674","3.1431534589191674","3.1431534589191674","240","240","240","","","","","",""
"1190","","","","","","","","","","","","","3.149118073659575","3.149118073659575","3.149118073659575","242","242","242","","","","","",""
"1200","","","","","","","","","","","","","3.1542151163912737","3.1542151163912737","3.1542151163912737","244","244","244","","","","","",""
"1210","","","","","","","","","","","","","3.160266878983103","3.160266878983103","3.160266878983103","246","246","246","","","","","",""
"1220","","","","","","","","","","","","","3.1634421182698516","3.1634421182698516","3.1634421182698516","248","248","248","","","","","",""
"1230","","","","","","","","","","","","","3.172246412607417","3.172246412607417","3.172246412607417","250","250","250","","","","","",""
"1240","","","","","","","","","","","","","3.174923008834468","3.174923008834468","3.174923008834468","252","252","252","","","","","",""
"1250","","","","","","","","","","","","","3.1783953304485797","3.1783953304485797","3.1783953304485797","254","254","254","","","","","",""
"1260","","","","","","","","","","","","","3.180900836771398","3.180900836771398","3.180900836771398","256","256","256","","","","","",""
"1270","","","","","","","","","","","","","3.174380691753926","3.174380691753926","3.174380691753926","258","258","258","","","","","",""
"1280","","","","","","","","","","","","","3.178090579426678","3.178090579426678","3.178090579426678","260","260","260","","","","","",""
"1290","","","","","","","","","","","","","3.18543101946985","3.18543101946985","3.18543101946985","262","262","262","","","","","",""
"1300","","","","","","","","","","","","","3.184308857922035","3.184308857922035","3.184308857922035","264","264","264","","","","","",""
"1310","","","","","","","","","","","","","3.1837888150253395","3.1837888150253395","3.1837888150253395","266","266","266","","","","","",""
"1320","","","","","","","","","","","","","3.189038588002786","3.189038588002786","3.189038588002786","268","268","268","","","","","",""
"1330","","","","","","","","","","","","","3.1957636583406908","3.1957636583406908","3.1957636583406908","270","270","270","","","","","",""
"1340","","","","","","","","","","","","","3.193964754512237","3.193964754512237","3.193964754512237","272","272","272","","","","","",""
"1350","","","","","","","","","","","","","3.1927838399740995","3.1927838399740995","3.1927838399740995","274","274","274","","","","","",""
"1360","","","","","","","","","","","","","3.190839116102422","3.190839116102422","3.190839116102422","276","276","276","","","","","",""
"1370","","","","","","","","","","","","","3.197048249536125","3.197048249536125","3.197048249536125","278","278","278","","","","","",""
"1380","","","","","","","","","","","","","3.195217379355462","3.195217379355462","3.195217379355462","280","280","280","","","","","",""
"1390","","","","","","","","","","","","","3.1954168251967716","3.1954168251967716","3.1954168251967716","282","282","282","","","","","",""
"1400","","","","","","","","","","","","","3.1967657600476995","3.1967657600476995","3.1967657600476995","284","284","284","","","","","",""
"1410","","","","","","","","","","","","","3.194227665183066","3.194227665183066","3.194227665183066","286","286","286","","","","","",""
"1420","","","","","","","","","","","","","3.2004878439162243","3.2004878439162243","3.2004878439162243","288","288","288","","","","","",""
"1430","","","","","","","","","","","","","3.200803210525579","3.200803210525579","3.200803210525579","290","290","290","","","","","",""
"1440","","","","","","","","","","","","","3.2010378690262438","3.2010378690262438","3.2010378690262438","292","292","292","","","","","",""
"1450","","","","","","","","","","","","","3.2028129349678576","3.2028129349678576","3.2028129349678576","294","294","294","","","","","",""
"1460","","","","","","","","","","","","","3.2001525101539334","3.2001525101539334","3.2001525101539334","296","296","296","","","","","",""
"1470","","","","","","","","","","","","","3.193686243666128","3.193686243666128","3.193686243666128","298","298","298","","","","","",""
"1480","","","","","","","","","","","","","3.1864816589113314","3.1864816589113314","3.1864816589113314","300","300","300","","","","","",""
"1490","","","","","","","","","","","","","3.185604298379085","3.185604298379085","3.185604298379085","302","302","302","","","","","",""
"1500","","","","","","","","","","","","","2.8670438685411765","2.8670438685411765","2.8670438685411765","305","305","305","","","","","",""
"1510","","","","","","","","","","","","","2.9016141627783676","2.9016141627783676","2.9016141627783676","307","307","307","","","","","",""
"1520","","","","","","","","","","","","","2.929829383005658","2.929829383005658","2.929829383005658","309","309","309","","","","","",""
"1530","","","","","","","","","","","","","2.959152200320327","2.959152200320327","2.959152200320327","311","311","311","","","","","",""
"1540","","","","","","","","","","","","","2.983800487368373","2.983800487368373","2.983800487368373","313","313","313","","","","","",""
"1550","","","","","","","","","","","","","3.003616601809026","3.003616601809026","3.003616601809026","315","315","315","","","","","",""
"1560","","","","","","","","","","","","","3.0131382881857403","3.0131382881857403","3.0131382881857403","317","317","317","","","","","",""
"1570","","","","","","","","","","","","","3.0283447306684357","3.0283447306684357","3.0283447306684357","319","319","319","","","","","",""
"1580","","","","","","","","","","","","","3.0400989760158987","3.0400989760158987","3.0400989760158987","321","321","321","","","","","",""
"1590","","","","","","","","","","","","","3.0488356222985864","3.0488356222985864","3.0488356222985864","323","323","323","","","","","",""
"1600","","","","","","","","","","","","","3.05815640958655","3.05815640958655","3.05815640958655","325","325","325","","","","","",""
"1610","","","","","","","","","","","","","3.0638268793151506","3.0638268793151506","3.0638268793151506","327","327","327","","","","","",""
"1620","","","","","","","","","","","","","3.07669216196469","3.07669216196469","3.07669216196469","329","329","329","","","","","",""
"1630","","","","","","","","","","","","","3.0843874210184654","3.0843874210184654","3.0843874210184654","331","331","331","","","","","",""
"1640","","","","","","","","","","","","","3.0891205615460136","3.0891205615460136","3.0891205615460136","333","333","333","","","","","",""
"1650","","","","","","","","","","","","","3.0920500886433655","3.0920500886433655","3.0920500886433655","335","335","335","","","","","",""
"1660","","","","","","","","","","","","","3.1008830283874276","3.1008830283874276","3.1008830283874276","337","337","337","","","","","",""
"1670","","","","","","","","","","","","","3.1086846257562044","3.1086846257562044","3.1086846257562044","339","339","339","","","","","",""
"1680","","","","","","","","","","","","","3.1194632731659357","3.1194632731659357","3.1194632731659357","341","341","341","","","","","",""
"1690","","","","","","","","","","","","","3.1241352357968517","3.1241352357968517","3.1241352357968517","343","343","343","","","","","",""
"1700","","","","","","","","","","","","","3.1194689427469515","3.1194689427469515","3.1194689427469515","345","345","345","","","","","",""
"1710","","","","","","","","","","","","","3.112434081553311","3.112434081553311","3.112434081553311","347","347","347","","","","","",""
"1720","","","","","","","","","","","","","3.1181460490693667","3.1181460490693667","3.1181460490693667","349","349","349","","","","","",""
"1730","","","","","","","","","","","","","3.130485268014969","3.130485268014969","3.130485268014969","351","351","351","","","","","",""
"1740","","","","","","","","","","","","","3.138455952028902","3.138455952028902","3.138455952028902","353","353","353","","","","","",""
"1750","","","","","","","","","","","","","3.140686730879967","3.140686730879967","3.140686730879967","355","355","355","","","","","",""
"1760","","","","","","","","","","","","","3.144106346671365","3.144106346671365","3.144106346671365","357","357","357","","","","","",""
"1770","","","","","","","","","","","","","3.141081992064043","3.141081992064043","3.141081992064043","359","359","359","","","","","",""
"1780","","","","","","","","","","","","","3.145619289226047","3.145619289226047","3.145619289226047","361","361","361","","","","","",""
"1790","","","","","","","","","","","","","3.1520848108649657","3.1520848108649657","3.1520848108649657","363","363","363","","","","","",""
"1800","","","","","","","","","","","","","3.147205900548733","3.147205900548733","3.147205900548733","365","365","365","","","","","",""
"1810","","","","","","","","","","","","","3.1497530145038692","3.1497530145038692","3.1497530145038692","367","367","367","","","","","",""
"1820","","","","","","","","","","","","","3.1440820457866367","3.1440820457866367","3.1440820457866367","369","369","369","","","","","",""
"1830","","","","","","","","","","","","","3.1490203644928854","3.1490203644928854","3.1490203644928854","371","371","371","","","","","",""
"1840","","","","","","","","","","","","","3.1540925216165947","3.1540925216165947","3.1540925216165947","373","373","373","","","","","",""
"1850","","","","","","","","","","","","","3.156838596298197","3.156838596298197","3.156838596298197","375","375","375","","","","","",""
"1860","","","","","","","","","","","","","3.1584023753707697","3.1584023753707697","3.1584023753707697","377","377","377","","","","","",""
"1870","","","","","","","","","","","","","3.149257122269728","3.149257122269728","3.149257122269728","379","379","379","","","","","",""
"1880","","","","","","","","","","","","","3.1508374525232243","3.1508374525232243","3.1508374525232243","381","381","381","","","","","",""
"1890","","","","","","","","","","","","","3.150435942988675","3.150435942988675","3.150435942988675","383","383","383","","","","","",""
"1900","","","","","","","","","","","","","3.153280398769153","3.153280398769153","3.153280398769153","385","385","385","","","","","",""
"1910","","","","","","","","","","","","","3.1617381407525893","3.1617381407525893","3.1617381407525893","387","387","387","","","","","",""
"1920","","","","","","","","","","","","","3.158948573503502","3.158948573503502","3.158948573503502","389","389","389","","","","","",""
"1930","","","","","","","","","","","","","3.165572370022781","3.165572370022781","3.165572370022781","391","391","391","","","","","",""
"1940","","","","","","","","","","","","","3.1584502145024365","3.1584502145024365","3.1584502145024365","393","393","393","","","","","",""
"1950","","","","","","","","","","","","","3.1570910481547316","3.1570910481547316","3.1570910481547316","395","395","395","","","","","",""
"1960","","","","","","","","","","","","","3.1593579031170904","3.1593579031170904","3.1593579031170904","397","397","397","","","","","",""
"1970","","","","","","","","","","","","","3.15520008598043","3.15520008598043","3.15520008598043","399","399","399","","","","","",""
"1980","","","","","","","","","","","","","3.148243138142885","3.148243138142885","3.148243138142885","401","401","401","","","","","",""
"1990","","","","","","","","","","","","","3.15180955614012","3.15180955614012","3.15180955614012","403","403","403","","","","","",""
"2000","","","","","","","","","","","","","2.836628600526108","2.836628600526108","2.836628600526108","406","406","406","","","","","",""
"2010","","","","","","","","","","","","","2.8717268030955676","2.8717268030955676","2.8717268030955676","408","408","408","","","","","",""
"2020","","","","","","","","","","","","","2.9016848600906986","2.9016848600906986","2.9016848600906986","410","410","410","","","","","",""
"2030","","","","","","","","","","","","","2.9203923353853396","2.9203923353853396","2.9203923353853396","412","412","412","","","","","",""
"2040","","","","","","","","","","","","","2.946913511392704","2.946913511392704","2.946913511392704","414","414","414","","","","","",""
"2050","","","","","","","","","","","","","2.9721979178523106","2.9721979178523106","2.9721979178523106","416","416","416","","","","","",""
"2060","","","","","","","","","","","","","2.994446204680361","2.994446204680361","2.994446204680361","418","418","418","","","","","",""
"2070","","","","","","","","","","","","","3.007314377944015","3.007314377944015","3.007314377944015","420","420","420","","","","","",""
"2080","","","","","","","","","","","","","3.023790257501908","3.023790257501908","3.023790257501908","422","422","422","","","","","",""
"2090","","","","","","","","","","","","","3.03603924154786","3.03603924154786","3.03603924154786","424","424","424","","","","","",""
"2100","","","","","","","","","","","","","3.0461209253032306","3.0461209253032306","3.0461209253032306","426","426","426","","","","","",""
"2110","","","","","","","","","","","","","3.058834119638142","3.058834119638142","3.058834119638142","428","428","428","","","","","",""
"2120","","","","","","","","","","","","","3.0705384266379507","3.0705384266379507","3.0705384266379507","430","430","430","","","","","",""
"2130","","","","","","","","","","","","","3.0842812072041363","3.0842812072041363","3.0842812072041363","432","432","432","","","","","",""
"2140","","","","","","","","","","","","","3.08291905022884","3.08291905022884","3.08291905022884","434","434","434","","","","","",""
"2150","","","","","","","","","","","","","3.0842882856478506","3.0842882856478506","3.0842882856478506","436","436","436","","","","","",""
